tsne_1,tsne_2,cluster_label,image_path
17.876934,5.882557,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/ttF3r6VOJwQKgHDtiYWAKlbd7Pm.jpg
40.90958,9.212337,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8fnt1ReSDl02kqYM5mT1bZGMTqB.jpg
46.766247,-20.46727,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/AbBua8Yjne66nszGNaK6d5OrXTK.jpg
-0.6961413,34.632786,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/61HDUsItzTEonRnDGdKmDE99vSq.jpg
-3.6488588,44.28265,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/jcTdf8SyKsJNhx1ezDjy6b5dyNg.jpg
9.092921,-33.19028,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/1PlcdUR8dXdPpxWQnXiNa63rp0q.jpg
-33.474854,14.621997,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/YLOMckeVav8ivq8p1d03muZHdi.jpg
-25.398825,30.13276,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/ezgKTTz3ZT6wksXREympqR7G2eM.jpg
9.594112,1.8914043,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/tYg5kldMi5DxpgxUCz4pSWHZX1K.jpg
-7.374686,-42.283558,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/wEmWPNkotcwLmbU7le7W0dpY2th.jpg
-36.15904,-40.517162,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/fBpf2eaDeTuQoDcgxdBExlthg7j.jpg
-22.100977,-20.861145,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/w0RvdNU6TD6uNzxj2sEFx1NDnRf.jpg
12.376593,14.183561,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/uZydxDBq16dUhE41WYh4Suc9iwS.jpg
-30.473621,3.4392586,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/we2KnPBOlQTyZhZtrGLCBlHZG21.jpg
18.829784,12.651278,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/zgtkXLJagDMlW4iXTCojL5guDeu.jpg
34.818066,39.538414,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/eRvcxeaiRf3ORDaVBErQSbGIHZD.jpg
-21.223206,-16.521954,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/bVzrnmVf6Xs7QjHfoAgOkTi6Oxx.jpg
-38.32147,36.06374,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/1GZEsvdZTNL04xpFJJ1CZ0GPA0p.jpg
8.356851,-22.266092,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8TuyugRjt413xcEHkjSGIpFzrdU.jpg
-9.795628,19.743614,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8uamWN2l2qkqsI9W5D7fvamQvdm.jpg
-33.8953,7.5548563,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/iTDsf98X0KHRUiZiiFqP36Rgjee.jpg
-30.043833,5.6301775,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/tkvTLGw0U7FIuofZCXWaGqogPwg.jpg
10.321142,16.26453,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/cBxOWV0SthaEUS2AEqq3DBegybl.jpg
32.59572,-17.383066,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/aYhWFeMdknJlrV7AZY70rk7XStw.jpg
25.105122,-1.8102216,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/rFM1024mMrxgRcq1GIzbkRyjmsE.jpg
6.718041,-24.027903,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/tUX6KoQ8Tivf7vfztfM1FrZ42R6.jpg
-14.161971,8.453954,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/dZsYTYA4YvZ727UbfXGshqwmygk.jpg
13.954113,-13.499363,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/h5acPIASFE1FMqbwcBnQzvvXBR1.jpg
-42.786274,13.527679,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/pk4EOaHRGRBRG3r66MYg6UPNBZ2.jpg
12.505229,-14.434583,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/e3dfJtzvnDpz9sAAkGjywPAKKMG.jpg
-5.694137,-10.661424,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/k9VLqq9t2zC5czcMhJvqDLpi4uQ.jpg
12.605665,24.980816,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/l3pYMAjczLmNT5x7X2yP6dnwb0K.jpg
-7.28216,-17.111988,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/oEtp1fKN8fHoQjkZ1ckA4XiFdPz.jpg
2.5865245,-4.0855613,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/2wSPXWGuv2U9f9TD8QH6saR5NyD.jpg
-47.24465,22.82192,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/l9HXXwpAruTY2iNnAeHrFdO8bwo.jpg
-22.408258,-3.9868689,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/jUvhbEBbATQvShGvQec2BabOC3c.jpg
-13.78952,-24.777447,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8g3wDC8vYRzC8OkkURV7OIRErjP.jpg
19.217152,-6.059917,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/yqYBSvZnrHqlMhiWgvvyED80lX2.jpg
-41.02848,28.689903,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/88JnSaaOmwgFvNcQcwnX0036HAE.jpg
-17.818563,12.860153,6,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/lD6xv3dz6AStcYsrDk6sqHKMgxD.jpg
-10.337987,4.3241234,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/v6Xz0vFiWNKBIXopp3jD504ldlx.jpg
0.39375788,-38.321503,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/1y4nQK65QbRh0PHKkn9Wix3hyrX.jpg
10.98245,36.1993,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/4e6S6eTURZVJh20kPccNIflpunM.jpg
2.733038,0.7625814,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/r6yqiIYMo7kDIS8uOXPfo7GuI2y.jpg
-1.7347633,-45.9925,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/fta1ZO9uLsFPgEMPDcgUf2PFxKI.jpg
11.623171,-33.7592,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/lEYfyJSn2BiOi9vRBhjo1z4Dn2p.jpg
27.273245,-7.4105883,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/f47O949dsujv3o1Si2sWyDWL9WI.jpg
47.932583,13.413899,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/gLOWs1LyouP7ysSLUkDqMNGlYRb.jpg
-2.5606246,2.0006237,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/ozBX0u5caaJFli9AssqJmARb5R.jpg
-8.545444,-4.536138,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/pxmVSA4G1BGTMR4TnOj1Km2KKOy.jpg
-11.359153,-5.182825,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/pCu8sRzeU940LDZ7nnjyotvwxOk.jpg
