tconst,genre_ids,release_date,title,poster_path,nearest,percentage,year
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,#D5D7D3,3.3244444444444445,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,#76686D,2.9303703703703703,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,#D5C9BE,2.645925925925926,1953
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,#B3B2BE,2.1303703703703705,1953
tt0047939,99,1955-02-08,Cinerama Holiday,/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,#94E2E5,10.503703703703703,1955
tt0047939,99,1955-02-08,Cinerama Holiday,/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,#E1E2E5,8.571851851851852,1955
tt0047939,99,1955-02-08,Cinerama Holiday,/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,#94B3E5,7.718518518518519,1955
tt0047939,99,1955-02-08,Cinerama Holiday,/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,#2F2D29,5.1970370370370365,1955
tt0047939,99,1955-02-08,Cinerama Holiday,/3ksyctXpOz3wYYCPbae5AkGaMdT.jpg,#728FB4,5.143703703703704,1955
tt0048104,35,1952-12-17,Holiday for Henrietta,/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,#F4E5E6,38.21333333333333,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,#C10806,8.717037037037038,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,#440806,8.21037037037037,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,#9EA2A2,5.401481481481482,1952
tt0048104,35,1952-12-17,Holiday for Henrietta,/qGGsEVGIVUPcmt8PrLNEHBQ3SCH.jpg,#DBE5E6,4.444444444444445,1952
tt0052897,35,1959-07-21,Holiday for Lovers,/sGp2fbrOpuIGLKwpw7ufHsKrQcK.jpg,#F2E8DF,36.14222222222222,1959
tt0052897,35,1959-07-21,Holiday for Lovers,/sGp2fbrOpuIGLKwpw7ufHsKrQcK.jpg,#412D1C,6.174814814814815,1959
tt0052897,35,1959-07-21,Holiday for Lovers,/sGp2fbrOpuIGLKwpw7ufHsKrQcK.jpg,#93C1DF,4.687407407407408,1959
tt0052897,35,1959-07-21,Holiday for Lovers,/sGp2fbrOpuIGLKwpw7ufHsKrQcK.jpg,#D6E8DF,3.487407407407407,1959
tt0052897,35,1959-07-21,Holiday for Lovers,/sGp2fbrOpuIGLKwpw7ufHsKrQcK.jpg,#936747,3.478518518518518,1959
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,/9A7CMWRXX76PL9kRpFCLBnIxk6L.jpg,#6D96B4,7.099259259259259,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,/9A7CMWRXX76PL9kRpFCLBnIxk6L.jpg,#EDE6E3,5.395555555555555,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,/9A7CMWRXX76PL9kRpFCLBnIxk6L.jpg,#C9E6E3,4.192592592592593,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,/9A7CMWRXX76PL9kRpFCLBnIxk6L.jpg,#A0BCE3,4.044444444444444,1964
tt0058197,"35, 10402",1964-08-14,Holiday in St. Tropez,/9A7CMWRXX76PL9kRpFCLBnIxk6L.jpg,#2896B4,3.958518518518519,1964
tt0064037,18,1969-09-25,The Christmas Tree,/usEaKgFPfVQHLKltzPshcPlIP4C.jpg,#EC2C6A,36.391111111111115,1969
tt0064037,18,1969-09-25,The Christmas Tree,/usEaKgFPfVQHLKltzPshcPlIP4C.jpg,#ECE1E3,7.4251851851851844,1969
tt0064037,18,1969-09-25,The Christmas Tree,/usEaKgFPfVQHLKltzPshcPlIP4C.jpg,#4B2C2B,5.4548148148148154,1969
tt0064037,18,1969-09-25,The Christmas Tree,/usEaKgFPfVQHLKltzPshcPlIP4C.jpg,#1B2C2B,4.90962962962963,1969
tt0064037,18,1969-09-25,The Christmas Tree,/usEaKgFPfVQHLKltzPshcPlIP4C.jpg,#4B6E2B,4.314074074074075,1969
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,/4o9yMG4h6IeLJAJtHVycoDmPm6k.jpg,#1D271A,17.774814814814814,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,/4o9yMG4h6IeLJAJtHVycoDmPm6k.jpg,#1D6342,11.665185185185186,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,/4o9yMG4h6IeLJAJtHVycoDmPm6k.jpg,#6A8342,7.28888888888889,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,/4o9yMG4h6IeLJAJtHVycoDmPm6k.jpg,#4C6342,5.2,1972
tt0068683,"10751, 35",1972-09-14,Main Thing Holidays,/4o9yMG4h6IeLJAJtHVycoDmPm6k.jpg,#6A835E,4.183703703703704,1972
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,/giBgyHmIXakArWSzpmSuZJGbM8U.jpg,#B6A09B,30.693333333333335,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,/giBgyHmIXakArWSzpmSuZJGbM8U.jpg,#E3D8CE,17.81925925925926,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,/giBgyHmIXakArWSzpmSuZJGbM8U.jpg,#937A76,13.602962962962964,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,/giBgyHmIXakArWSzpmSuZJGbM8U.jpg,#2A1917,6.524444444444444,1973
tt0070004,"18, 10770",1973-12-24,A Dream for Christmas,/giBgyHmIXakArWSzpmSuZJGbM8U.jpg,#694C48,5.312592592592592,1973
tt0071613,35,1973-05-19,Holiday on the Buses,/lwzQzFvlOZcWVu5iVJlWF1487Oe.jpg,#F7E7DB,16.391111111111112,1973
tt0071613,35,1973-05-19,Holiday on the Buses,/lwzQzFvlOZcWVu5iVJlWF1487Oe.jpg,#F7E7A5,6.062222222222222,1973
tt0071613,35,1973-05-19,Holiday on the Buses,/lwzQzFvlOZcWVu5iVJlWF1487Oe.jpg,#28245C,5.662222222222222,1973
tt0071613,35,1973-05-19,Holiday on the Buses,/lwzQzFvlOZcWVu5iVJlWF1487Oe.jpg,#DAB7A5,4.017777777777778,1973
tt0071613,35,1973-05-19,Holiday on the Buses,/lwzQzFvlOZcWVu5iVJlWF1487Oe.jpg,#A95A5C,3.8488888888888892,1973
tt0075846,"18, 10770",1977-12-26,"Christmas Miracle in Caufield, U.S.A.",/kyIlTd2pbCE8aBFJGwASz7Bk0gi.jpg,#231D1B,22.48,1977
tt0075846,"18, 10770",1977-12-26,"Christmas Miracle in Caufield, U.S.A.",/kyIlTd2pbCE8aBFJGwASz7Bk0gi.jpg,#534B46,13.917037037037035,1977
tt0075846,"18, 10770",1977-12-26,"Christmas Miracle in Caufield, U.S.A.",/kyIlTd2pbCE8aBFJGwASz7Bk0gi.jpg,#234B46,10.98962962962963,1977
tt0075846,"18, 10770",1977-12-26,"Christmas Miracle in Caufield, U.S.A.",/kyIlTd2pbCE8aBFJGwASz7Bk0gi.jpg,#9F8883,8.829629629629629,1977
tt0075846,"18, 10770",1977-12-26,"Christmas Miracle in Caufield, U.S.A.",/kyIlTd2pbCE8aBFJGwASz7Bk0gi.jpg,#776864,8.231111111111112,1977
tt0075875,"35, 10749",1977-01-01,Confessions from a Holiday Camp,/iKGeRk6hN5SAn0l6yjzj6vJGBGW.jpg,#F6E7F6,46.45037037037037,1977
tt0075875,"35, 10749",1977-01-01,Confessions from a Holiday Camp,/iKGeRk6hN5SAn0l6yjzj6vJGBGW.jpg,#85322D,3.6059259259259258,1977
tt0075875,"35, 10749",1977-01-01,Confessions from a Holiday Camp,/iKGeRk6hN5SAn0l6yjzj6vJGBGW.jpg,#F6E7DF,3.5229629629629633,1977
tt0075875,"35, 10749",1977-01-01,Confessions from a Holiday Camp,/iKGeRk6hN5SAn0l6yjzj6vJGBGW.jpg,#859DF6,3.4222222222222225,1977
tt0075875,"35, 10749",1977-01-01,Confessions from a Holiday Camp,/iKGeRk6hN5SAn0l6yjzj6vJGBGW.jpg,#AE322D,3.291851851851852,1977
tt0076783,"18, 10770",1977-12-12,Sunshine Christmas,/29ETxz7OZncDRmpigG4R9TbqcrV.jpg,#951625,14.545185185185186,1977
tt0076783,"18, 10770",1977-12-12,Sunshine Christmas,/29ETxz7OZncDRmpigG4R9TbqcrV.jpg,#363025,8.562962962962963,1977
tt0076783,"18, 10770",1977-12-12,Sunshine Christmas,/29ETxz7OZncDRmpigG4R9TbqcrV.jpg,#953025,7.4251851851851844,1977
tt0076783,"18, 10770",1977-12-12,Sunshine Christmas,/29ETxz7OZncDRmpigG4R9TbqcrV.jpg,#361625,6.948148148148148,1977
tt0076783,"18, 10770",1977-12-12,Sunshine Christmas,/29ETxz7OZncDRmpigG4R9TbqcrV.jpg,#95784F,6.637037037037037,1977
tt0077281,"878, 53, 18",1978-11-23,Blood Type: Blue,/caS0bI3byDqwGdrANp1ojufps9d.jpg,#F1E5ED,39.34518518518518,1978
tt0077281,"878, 53, 18",1978-11-23,Blood Type: Blue,/caS0bI3byDqwGdrANp1ojufps9d.jpg,#2A1B1C,12.74074074074074,1978
tt0077281,"878, 53, 18",1978-11-23,Blood Type: Blue,/caS0bI3byDqwGdrANp1ojufps9d.jpg,#79514E,5.442962962962962,1978
tt0077281,"878, 53, 18",1978-11-23,Blood Type: Blue,/caS0bI3byDqwGdrANp1ojufps9d.jpg,#AF514E,4.411851851851852,1978
