season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration,episode,overall_episode_number,writer,director
8,243,2,Into the Dalek,episode,2014-08-30,7.29,84,45,8.2 Into the Dalek,106,Phil Ford and Steven Moffat,Ben Wheatley
8,244,3,Robot of Sherwood,episode,2014-09-06,7.28,82,46,8.3 Robot of Sherwood,107,Mark Gatiss,Paul Murphy
8,245,4,Listen,episode,2014-09-13,7.01,82,48,8.4 Listen,108,Steven Moffat,Douglas Mackinnon
8,246,5,Time Heist,episode,2014-09-20,6.99,84,45,8.5 Time Heist,109,Stephen Thompson and Steven Moffat,Douglas Mackinnon
8,247,6,The Caretaker,episode,2014-09-27,6.82,83,45,8.6 The Caretaker,110,Gareth Roberts and Steven Moffat,Paul Murphy
8,248,7,Kill the Moon,episode,2014-10-04,6.91,82,45,8.7 Kill the Moon,111,Peter Harness,Paul Wilmshurst
8,249,8,Mummy on the Orient Express,episode,2014-10-11,7.11,85,47,8.8 Mummy on the Orient Express,112,Jamie Mathieson,Paul Wilmshurst
8,250,9,Flatline,episode,2014-10-18,6.71,85,43,8.9 Flatline,113,Jamie Mathieson,Douglas Mackinnon
8,251,10,In the Forest of the Night,episode,2014-10-25,6.92,83,45,8.10 In the Forest of the Night,114,Frank Cottrell-Boyce,Sheree Folkson
8,252a,11,Dark Water,episode,2014-11-01,7.34,85,46,8.11 Dark Water,115,Steven Moffat,Rachel Talalay
8,252b,12,Death in Heaven,episode,2014-11-08,7.6,83,57,8.12 Death in Heaven,116,Steven Moffat,Rachel Talalay
9,253,NA,Last Christmas,special,2014-12-25,8.28,82,60,9.X Last Christmas,117,Steven Moffat,Paul Wilmshurst
9,254a,1,The Magician's Apprentice,episode,2015-09-19,6.54,84,46,9.1 The Magician's Apprentice,118,Steven Moffat,Hettie MacDonald
9,254b,2,The Witch's Familiar,episode,2015-09-26,5.71,83,48,9.2 The Witch's Familiar,119,Steven Moffat,Hettie MacDonald
9,255a,3,Under the Lake,episode,2015-10-03,5.63,84,43,9.3 Under the Lake,120,Toby Whithouse,Daniel O'Hara
9,255b,4,Before the Flood,episode,2015-10-10,6.05,83,42,9.4 Before the Flood,121,Toby Whithouse,Daniel O'Hara
9,256,5,The Girl Who Died,episode,2015-10-17,6.56,82,46,9.5 The Girl Who Died,122,Jamie Mathieson,Ed Bazalgette
9,256,5,The Girl Who Died,episode,2015-10-17,6.56,82,46,9.5 The Girl Who Died,122,Steven Moffat,Ed Bazalgette
9,257,6,The Woman Who Lived,episode,2015-10-24,6.11,81,46,9.6 The Woman Who Lived,123,Catherine Tregenna,Ed Bazalgette
9,258a,7,The Zygon Invasion,episode,2015-10-31,5.76,82,46,9.7 The Zygon Invasion,124,Peter Harness,Daniel Nettheim
9,258b,8,The Zygon Inversion,episode,2015-11-07,6.03,84,46,9.8 The Zygon Inversion,125,Peter Harness,Daniel Nettheim
9,258b,8,The Zygon Inversion,episode,2015-11-07,6.03,84,46,9.8 The Zygon Inversion,125,Steven Moffat,Daniel Nettheim
9,259,9,Sleep No More,episode,2015-11-14,5.61,78,45,9.9 Sleep No More,126,Mark Gatiss,Justin Molotnikov
9,260,10,Face the Raven,episode,2015-11-21,6.05,84,47,9.10 Face the Raven,127,Sarah Dollard,Justin Molotnikov
9,261,11,Heaven Sent,episode,2015-11-28,6.19,80,54,9.11 Heaven Sent,128,Steven Moffat,Rachel Talalay
