year,nearest_overall,n
1979,#FFFFFF,24.51851851851852
1980,#000000,92.97185185185185
1980,#00003F,38.62814814814815
1980,#003F00,8.693333333333333
1980,#3F0000,33.18222222222222
1980,#3F3F00,12.610370370370369
1980,#3F3F3F,46.35259259259259
1980,#3F7F3F,41.79555555555555
1980,#3F7FBF,13.368888888888888
1980,#3FBFFF,13.324444444444445
1980,#7F0000,15.36
1980,#7F3F3F,13.093333333333334
1980,#7F7F3F,10.714074074074075
1980,#7F7FBF,12.337777777777779
1980,#7FBFBF,25.831111111111113
1980,#BF003F,10.666666666666666
1980,#BF7F3F,9.072592592592594
1980,#BF7F7F,7.20888888888889
1980,#BF7FBF,25.74222222222222
1980,#BFBFBF,34.46222222222222
1980,#FF7F7F,7.4251851851851844
1980,#FFBF3F,15.760000000000002
1980,#FFBFBF,245.2385185185185
1980,#FFFFFF,409.5466666666666
1981,#000000,174.51851851851853
1981,#00BFBF,51.05777777777777
1981,#00BFFF,46.78222222222222
1981,#3F0000,37.59111111111111
1981,#3F3F00,9.902222222222223
1981,#3F3F3F,23.143703703703704
1981,#3F7F7F,11.727407407407407
1981,#3F7FBF,129.92
1981,#7F3F3F,39.31851851851852
1981,#7F3F7F,71.47851851851851
1981,#7F7F3F,19.56740740740741
1981,#7F7FBF,45.06666666666666
1981,#BF7F00,5.007407407407408
1981,#BF7F7F,18.607407407407408
1981,#BFBF3F,10.524444444444445
1981,#BFBFBF,33.26814814814815
1981,#BFBFFF,19.58222222222222
1981,#BFFFFF,11.674074074074074
1981,#FFBFBF,6.814814814814815
1981,#FFFFBF,41.608888888888885
1981,#FFFFFF,10.832592592592592
1982,#00003F,22.702222222222222
1982,#003FBF,36.72888888888889
1982,#007FBF,27.946666666666673
1982,#00BFFF,18.328888888888887
1982,#3F0000,73.29777777777778
1982,#3F003F,11.235555555555557
1982,#3F3F7F,14.462222222222222
1982,#3FBFFF,104
1982,#7FBFFF,19.608888888888888
1982,#BF0000,18.16888888888889
1982,#BF3F00,14.186666666666667
1982,#BF3F3F,79.91111111111111
1982,#BFBFBF,12.72888888888889
1982,#BFBFFF,27.857777777777777
1982,#BFFFFF,48.782222222222224
1982,#FF3F3F,20.79111111111111
1982,#FFBF3F,21.36888888888889
1982,#FFBFBF,97.28
1982,#FFFFFF,100.88000000000001
1983,#000000,100.96000000000001
1983,#00003F,27.28888888888889
1983,#003F3F,17.594074074074072
1983,#3F0000,132.8651851851852
1983,#3F3F00,10.684444444444445
1983,#3F3F3F,16.90074074074074
1983,#3F7F3F,69.99111111111111
1983,#3F7F7F,9.333333333333334
1983,#3F7FBF,5.5377777777777775
1983,#7F3F00,14.565925925925926
1983,#7F3F3F,3.8162962962962963
1983,#7F7F7F,39.626666666666665
1983,#7F7FBF,24.352592592592593
1983,#7FBF00,9.937777777777779
1983,#7FFF3F,12.32
1983,#7FFF7F,36.10074074074075
1983,#BF7F7F,33.837037037037035
1983,#BFBFBF,27.081481481481482
1983,#BFFF7F,9.546666666666667
1983,#FF0000,4.2844444444444445
1983,#FF7F7F,5.819259259259259
1983,#FFBF7F,10.248888888888889
1983,#FFBFBF,22.980740740740742
1983,#FFFF7F,8.64
1983,#FFFFBF,153.47259259259258
1984,#000000,34.859259259259254
1984,#3F0000,118.64592592592592
1984,#3F3F00,29.922962962962963
1984,#3F3F3F,30.625185185185188
1984,#3FBF3F,4.071111111111112
1984,#3FBFBF,24.645925925925926
1984,#7F0000,64.48592592592593
1984,#7F3F00,30.882962962962964
1984,#7F3F3F,14.479999999999999
1984,#7F7F7F,97.99703703703703
1984,#7FBF3F,4.995555555555556
1984,#7FBFBF,20.77925925925926
1984,#BF0000,13.019259259259258
1984,#BFBF3F,3.9229629629629628
1984,#BFBFBF,91.14666666666666
1984,#BFFFBF,15.86962962962963
1984,#BFFFFF,88.82666666666667
1984,#FFBF7F,8.296296296296296
1984,#FFBFBF,64.62222222222222
1984,#FFFF7F,6.714074074074074
1984,#FFFFBF,22.844444444444445
1984,#FFFFFF,300.3703703703704
1985,#000000,72.30222222222223
1985,#00003F,41.86666666666666
1985,#003F3F,32.93333333333333
1985,#00BFBF,9.522962962962964
1985,#3F0000,19.191111111111113
1985,#3F007F,30.062222222222225
1985,#3F3F00,12.506666666666666
1985,#3F3F3F,17.173333333333336
1985,#3F3F7F,22.880000000000003
1985,#3F7F3F,21.202962962962964
1985,#7F3F3F,16.764444444444443
1985,#7F7F7F,17.448888888888888
1985,#7FBFBF,12.959999999999999
1985,#BFBF7F,9.351111111111111
1985,#BFBFBF,52.05925925925926
1985,#BFFFBF,14.897777777777776
1985,#FFFF3F,54.459259259259255
1985,#FFFFBF,143.03407407407406
1986,#000000,210.07999999999998
1986,#00003F,44.46222222222222
1986,#003F00,14.234074074074075
1986,#003F3F,34.84444444444445
1986,#003F7F,43.47555555555556
1986,#3F0000,45.58814814814815
1986,#3F003F,30.62222222222222
1986,#3F3F00,18.16888888888889
1986,#3F3F3F,74.5125925925926
1986,#3F3F7F,78.23407407407407
1986,#3F7F3F,3.6325925925925926
1986,#3F7FBF,14.826666666666668
1986,#3F7FFF,9.214814814814815
1986,#7F3F00,12.275555555555556
1986,#7F3F3F,18.08
1986,#7F7F7F,22.06222222222222
1986,#BF3F3F,18.59851851851852
1986,#BF7F3F,14.78222222222222
1986,#BF7F7F,32.55111111111111
1986,#BFBFBF,57.82222222222222
1986,#BFBFFF,25.57925925925926
1986,#BFFFBF,8.204444444444444
1986,#BFFFFF,30.28148148148148
1986,#FFBF7F,19.081481481481482
1986,#FFBFBF,180.07703703703703
1986,#FFFF7F,11.638518518518518
1986,#FFFFBF,42.65777777777778
1986,#FFFFFF,41.57037037037037
1987,#000000,156.60148148148147
1987,#00003F,29.91111111111111
1987,#00007F,10.388148148148147
1987,#003F3F,18.145185185185184
1987,#003F7F,29.925925925925927
1987,#3F0000,76.81185185185186
1987,#3F3F00,33.644444444444446
1987,#3F3F3F,44.20444444444445
1987,#3F3F7F,4.802962962962963
1987,#3F7FBF,16.684444444444445
1987,#7F3F3F,38.31111111111111
1987,#7F7F3F,60.10962962962963
1987,#7F7F7F,15.76888888888889
1987,#7FBFBF,11.137777777777776
1987,#BFBF7F,24.568888888888893
1987,#BFBFBF,56.1037037037037
1987,#BFFFBF,31.128888888888888
1987,#BFFFFF,28.391111111111112
1987,#FFBF7F,3.6681481481481484
1987,#FFBFBF,38.70518518518519
1987,#FFFFBF,89.39555555555556
1987,#FFFFFF,103.19111111111111
1988,#000000,162.1985185185185
1988,#003F00,11.748148148148148
1988,#003FBF,70.62222222222222
1988,#007FBF,39.06666666666666
1988,#007FFF,17.288888888888888
1988,#3F0000,36.70222222222222
1988,#3F007F,34.55111111111111
1988,#3F3F00,33.77185185185185
1988,#3F3F3F,22.811851851851852
1988,#3F7F3F,14.399999999999999
1988,#3F7F7F,34.56
1988,#3F7FBF,60.29333333333333
1988,#7F3F3F,7.822222222222222
1988,#7F7F7F,35.59407407407407
1988,#7FBF7F,28.53333333333333
1988,#7FBFBF,41.35111111111111
1988,#BF0000,15.022222222222224
1988,#BFBF7F,20.604444444444443
1988,#BFBFBF,20.109629629629627
1988,#BFBFFF,17.706666666666667
1988,#BFFFFF,59.45777777777778
1988,#FF3F3F,35.48444444444445
1988,#FFBFBF,27.857777777777777
1988,#FFFF00,19.58814814814815
1988,#FFFF3F,17.2
1988,#FFFFBF,3.8903703703703703
1988,#FFFFFF,195.14666666666668
1989,#000000,177.32148148148147
1989,#00003F,25.41037037037037
1989,#003F3F,16.865185185185187
1989,#007F7F,10.242962962962963
1989,#3F0000,5.33037037037037
1989,#3F003F,7.997037037037037
1989,#3F3F3F,60.00888888888889
1989,#3F3F7F,12.296296296296298
1989,#3F7FBF,15.84888888888889
1989,#7F0000,6.21037037037037
1989,#7F7FBF,33.88444444444444
1989,#7F7FFF,13.30962962962963
1989,#BFBFBF,53.339259259259265
1989,#BFBFFF,28.503703703703703
1989,#FFBFBF,8.349629629629629
1989,#FFFFFF,21.99111111111111
1990,#000000,257.0074074074074
1990,#007F00,53.12888888888889
1990,#3F0000,101.20296296296296
1990,#3F003F,6.5600000000000005
