tconst,adult,backdrop_path,id,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,video,vote_average,vote_count
tt9033634,FALSE,/2LmRs5tgA5tGIZUKzB6W6LS4lng.jpg,550025,Christmas in Evergreen: Letters to Santa,en,Christmas in Evergreen: Letters to Santa,"Lisa's trip home to Evergreen for the holidays finds her shepherding an effort to save the town's beloved general store, fulfilling the wishes of a Christmas past and finding a romance full of Christmas magic.",/c7sbYi97TdjSPwUboF802yWidPP.jpg,movie,"10751, 10749, 10770",20.853,2018-11-18,FALSE,7,48
tt9033634,FALSE,/2LmRs5tgA5tGIZUKzB6W6LS4lng.jpg,550025,Christmas in Evergreen: Letters to Santa,en,Christmas in Evergreen: Letters to Santa,"Lisa's trip home to Evergreen for the holidays finds her shepherding an effort to save the town's beloved general store, fulfilling the wishes of a Christmas past and finding a romance full of Christmas magic.",/c7sbYi97TdjSPwUboF802yWidPP.jpg,movie,"10751, 10749, 10770",20.853,2018-11-18,FALSE,7,48
tt9033636,FALSE,/uWsLQsHgGKoMRtoLPFXNcq0Bj4f.jpg,550028,A Majestic Christmas,en,A Majestic Christmas,"Christmas in the charming town of Briar Falls will be bittersweet this year when architect Nell goes back to her hometown having been given the job of turning the historic Majestic Playhouse into a modern multiplex, much to the town’s objections. The Playhouse has been home to their annual Christmas tableaux, which will now have to end after a long and historic tradition to the town. This job is Nell’s first promotion, and one she wishes she hadn’t been chosen for, especially when she meets the new owner of the theater, Connor, whose vision and ideas clash with Nell’s. Since Connor hasn’t had much experience celebrating Christmas, Nell hopes that if she can give him a crash course in Christmas during the town’s Twelve Day Festival, that he might just change his mind about modernizing the Majestic.",/vUL1DWP6RHx0BYE8999P9urfbnl.jpg,movie,"10770, 18, 10749, 35",7.14,2018-12-02,FALSE,4.8,14
tt9033636,FALSE,/uWsLQsHgGKoMRtoLPFXNcq0Bj4f.jpg,550028,A Majestic Christmas,en,A Majestic Christmas,"Christmas in the charming town of Briar Falls will be bittersweet this year when architect Nell goes back to her hometown having been given the job of turning the historic Majestic Playhouse into a modern multiplex, much to the town’s objections. The Playhouse has been home to their annual Christmas tableaux, which will now have to end after a long and historic tradition to the town. This job is Nell’s first promotion, and one she wishes she hadn’t been chosen for, especially when she meets the new owner of the theater, Connor, whose vision and ideas clash with Nell’s. Since Connor hasn’t had much experience celebrating Christmas, Nell hopes that if she can give him a crash course in Christmas during the town’s Twelve Day Festival, that he might just change his mind about modernizing the Majestic.",/vUL1DWP6RHx0BYE8999P9urfbnl.jpg,movie,"10770, 18, 10749, 35",7.14,2018-12-02,FALSE,4.8,14
tt9033636,FALSE,/uWsLQsHgGKoMRtoLPFXNcq0Bj4f.jpg,550028,A Majestic Christmas,en,A Majestic Christmas,"Christmas in the charming town of Briar Falls will be bittersweet this year when architect Nell goes back to her hometown having been given the job of turning the historic Majestic Playhouse into a modern multiplex, much to the town’s objections. The Playhouse has been home to their annual Christmas tableaux, which will now have to end after a long and historic tradition to the town. This job is Nell’s first promotion, and one she wishes she hadn’t been chosen for, especially when she meets the new owner of the theater, Connor, whose vision and ideas clash with Nell’s. Since Connor hasn’t had much experience celebrating Christmas, Nell hopes that if she can give him a crash course in Christmas during the town’s Twelve Day Festival, that he might just change his mind about modernizing the Majestic.",/vUL1DWP6RHx0BYE8999P9urfbnl.jpg,movie,"10770, 18, 10749, 35",7.14,2018-12-02,FALSE,4.8,14
tt9033640,FALSE,/ahqSCGZlL7rrORCowor5I5JR0uf.jpg,550073,Hope at Christmas,en,Hope at Christmas,"Sydney Ragsdale, recently divorced, decides to spend Christmas in a house she inherited with her young daughter. As Sydney begins to spend more time at the local bookstore, she meets a teacher, Mac, who also fills in for the town Santa. Mac tries to make Christmas wishes come true, and this year Sydney is at the top of his ‘nice’ list. As a new opportunity with the bookstore unfolds, Mac helps Sydney open herself up to life, love, and believing in the spirit of Christmas again.",/5RHaUdU6jtikZCNLQEjYTjFs6Nn.jpg,movie,"10751, 10749, 10770",11.784,2018-11-20,FALSE,7,31
tt9033640,FALSE,/ahqSCGZlL7rrORCowor5I5JR0uf.jpg,550073,Hope at Christmas,en,Hope at Christmas,"Sydney Ragsdale, recently divorced, decides to spend Christmas in a house she inherited with her young daughter. As Sydney begins to spend more time at the local bookstore, she meets a teacher, Mac, who also fills in for the town Santa. Mac tries to make Christmas wishes come true, and this year Sydney is at the top of his ‘nice’ list. As a new opportunity with the bookstore unfolds, Mac helps Sydney open herself up to life, love, and believing in the spirit of Christmas again.",/5RHaUdU6jtikZCNLQEjYTjFs6Nn.jpg,movie,"10751, 10749, 10770",11.784,2018-11-20,FALSE,7,31
tt9033640,FALSE,/ahqSCGZlL7rrORCowor5I5JR0uf.jpg,550073,Hope at Christmas,en,Hope at Christmas,"Sydney Ragsdale, recently divorced, decides to spend Christmas in a house she inherited with her young daughter. As Sydney begins to spend more time at the local bookstore, she meets a teacher, Mac, who also fills in for the town Santa. Mac tries to make Christmas wishes come true, and this year Sydney is at the top of his ‘nice’ list. As a new opportunity with the bookstore unfolds, Mac helps Sydney open herself up to life, love, and believing in the spirit of Christmas again.",/5RHaUdU6jtikZCNLQEjYTjFs6Nn.jpg,movie,"10751, 10749, 10770",11.784,2018-11-20,FALSE,7,31
tt9033646,FALSE,/cJUochhHxgo3GxvEfry3yRpsKRe.jpg,550084,Reunited at Christmas,en,Reunited at Christmas,"Frazzled and struggling with writer’s block, novelist Samantha, along with her boyfriend, heads home to her late grandmother’s home to spend Christmas. While at home with family, her grandmother’s wise words reveal the true meaning of Christmas with Samantha at a time when she most needs encouragement.",/gs9BRnWOEWEO43fgB4tKRy9Lrmu.jpg,movie,"10751, 10770",7.49,2018-11-21,FALSE,5.586,29
tt9033646,FALSE,/cJUochhHxgo3GxvEfry3yRpsKRe.jpg,550084,Reunited at Christmas,en,Reunited at Christmas,"Frazzled and struggling with writer’s block, novelist Samantha, along with her boyfriend, heads home to her late grandmother’s home to spend Christmas. While at home with family, her grandmother’s wise words reveal the true meaning of Christmas with Samantha at a time when she most needs encouragement.",/gs9BRnWOEWEO43fgB4tKRy9Lrmu.jpg,movie,"10751, 10770",7.49,2018-11-21,FALSE,5.586,29
