id,chapter,title,date,location,year,chapter_city,latitude,longitude
266079417,rladies-ankara,R Başlangıç Eğitimi,2019-11-30,inperson,2019,Ankara,39.7160439,32.7059948
266602833,rladies-vienna,Joint November Event RLadies x Vienna<-R,2019-11-29,inperson,2019,Vienna,48.2083537,16.3725042
266463876,rladies-kyiv,Regression analysis in R,2019-11-28,inperson,2019,Kyiv,50.4500336,30.5241361
265686260,rladies-nijmegen,Handle and analyze eye-tracking data in R – All levels welcome!,2019-11-28,inperson,2019,Nijmegen,51.842574850000005,5.838960628748229
266284325,rladies-frankfurt,#7: Hands-on linear regression in R: Packages for modelling and visualizing,2019-11-28,inperson,2019,Frankfurt,50.1106444,8.6820917
250503895,rladies-guayaquil,¡Primer meet-up R-Ladies Guayaquil!,2019-11-27,inperson,2019,Guayaquil,-2.1900563,-79.8868741
266300390,rladies-madrid,R-Ladies en DevAcademy!,2019-11-26,inperson,2019,Madrid,40.4167047,-3.7035825
266461498,rladies-montevideo,Meetup: R & educación,2019-11-26,inperson,2019,Montevideo,-34.9058916,-56.1913095
266186841,rladies-bucharest,R-Ladies Bucharest Community #3,2019-11-26,inperson,2019,Bucharest,44.4361414,26.1027202
266236901,rladies-miami,Text Mining Scientific Papers with R!,2019-11-26,inperson,2019,"Miami, FL",25.7741728,-80.19362
266086845,rladies-stockholm,R-Ladies Afterwork,2019-11-26,inperson,2019,Stockholm,59.3251172,18.0710935
266356479,rladies-melbourne,Designing Data Science - NEED TO REGISTER ON EVENTBRITE,2019-11-26,inperson,2019,Melbourne,-37.8142454,144.9631732
266144484,rladies-bergen,Kick-off meeting,2019-11-25,inperson,2019,Bergen,60.3943055,5.3259192
266340313,rladies-pune,Kickoff Meet,2019-11-23,inperson,2019,Pune,18.521428,73.8544541
266387592,rladies-puebla,Tercera Reunion R-Ladies Puebla!,2019-11-23,inperson,2019,Puebla,18.833333,-98
266358719,rladies-istanbul,Kasim Etkinliği - R ile Sosyal Ag Analizi,2019-11-23,inperson,2019,Istanbul,41.0766019,29.052495
266384337,rladies-novi-sad, R-Ladies Novi Sad Meetup #5 Vizualizacija u R-u,2019-11-23,inperson,2019,Novi Sad,45.2551338,19.8451756
266346582,rladies-kansas-city,Build Your First R Shiny App,2019-11-23,inperson,2019,"Kansas City, MO",39.100105,-94.5781416
265423520,rladies-dc,Books In Bars - My Own Words by RBG,2019-11-22,inperson,2019,"Washington, DC",38.8950368,-77.0365427
263279186,rladies-baltimore,Data visualizations & holiday designs!,2019-11-22,inperson,2019,"Baltimore, MD",39.2908816,-76.610759
265380272,rladies-concepcion,Rmarkdown Shiny,2019-11-21,inperson,2019,Concepción,-36.8270795,-73.0502399
265925417,rladies-buffalo,R-Ladies Buffalo and BuffaloR Combo meeting,2019-11-21,inperson,2019,"Buffalo, NY",42.8867166,-78.8783922
265685164,rladies-montreal,R-Ladies Meeting: TBC,2019-11-21,inperson,2019,"Montréal, QC",45.5031824,-73.5698065
265684588,rladies-montreal,R-Ladies Meeting: dplyr workshop,2019-11-21,inperson,2019,"Montréal, QC",45.5031824,-73.5698065
266493093,rladies-belgrade,H2O R machine learning tutorial by Erin LeDell,2019-11-21,inperson,2019,Belgrade,44.8178131,20.4568974
266327348,rladies-amsterdam,How to create tangible business value with AI,2019-11-21,inperson,2019,Amsterdam,52.3730796,4.8924534
266464106,rladies-lexington-park,R-Ladies Lexington Park Launch,2019-11-21,inperson,2019,"Lexington Park, MD",38.2641725,-76.4533565
266291166,rladies-queretaro,Introducción a tidyverse y ggplot,2019-11-21,inperson,2019,Querétaro,20.5927744,-100.3902245
265702847,rladies-canberra,Keep calm and code!,2019-11-21,inperson,2019,Canberra,-35.2975906,149.1012676
266491786,rladies-xalapa,Mesa de Trabajo 1. Agenda legislativa en favor de las niñas,2019-11-20,inperson,2019,Xalapa,19.5408338,-96.9146374
266041371,rladies-london,"Max Kuhn presents ""Totally Tidy Tuning Tools""",2019-11-20,inperson,2019,London,51.5074456,-0.1277653
266497795,rladies-fayetteville,R Ladies Meet and Greet,2019-11-20,inperson,2019,"Fayetteville, AR",36.0625843,-94.1574328
266251963,rladies-riverside,Come plot with us!,2019-11-20,inperson,2019,"Riverside, CA",33.7219991,-116.0372472
265781970,rladies-el-paso,R startup & data-wrangling tutorial,2019-11-20,inperson,2019,"El Paso, TX",31.7550511,-106.488234
266382242,rladies-austin,Lightning talks with Austin R User Group,2019-11-19,inperson,2019,"Austin, TX",30.2711286,-97.7436995
264986424,rladies-helsinki,Building Dasboards with R Shiny,2019-11-19,inperson,2019,Helsinki,60.1674881,24.9427473
264916389,rladies-perth,Book Club - R for Data Science,2019-11-19,inperson,2019,Perth,-31.9558933,115.8605855
266579106,rladies-ames,TidyTuesday,2019-11-19,inperson,2019,"Ames, IA",42.0267567,-93.6170448
266252946,rladies-vancouver,Data visualization lessons from Hackseq,2019-11-18,inperson,2019,"Vancouver, BC",49.2608724,-123.113952
266472192,rladies-san-jose,Introducción a dplyr,2019-11-18,inperson,2019,San Jose,37.3361663,-121.890591
266388300,rladies-bogor,Extension of linear regression using R,2019-11-17,inperson,2019,Bogor,-6.5962986,106.7972421
266492000,rladies-atlanta,Sports Analytics and R Shiny,2019-11-15,inperson,2019,"Atlanta, GA",33.7489924,-84.3902644
265903175,rladies-barcelona,Introduction to the Tidyverse,2019-11-14,inperson,2019,Barcelona,41.3828939,2.1774322
266290639,rladies-san-diego,aRt and beeR,2019-11-14,inperson,2019,"San Diego, CA",32.7174202,-117.1627728
266165183,rladies-newyork,R in healthcare: ensuring data quality and conducting survival analyses,2019-11-14,inperson,2019,"New York, NY",40.7127281,-74.0060152
266025261,rladies-johannesburg,Nov meetup: Text Mining Using Tidy Data Principles,2019-11-14,inperson,2019,Johannesburg,-26.205,28.049722
265973111,rladies-tbilisi,Working with sheets,2019-11-13,inperson,2019,Tbilisi,41.6934591,44.8014495
265924083,rladies-columbus, Spatial Data and Mapping in R,2019-11-13,inperson,2019,"Columbus, OH",39.9622601,-83.0007065
266391654,rladies-denver,R-Ladies First Meetup,2019-11-12,inperson,2019,"Denver, CO",39.7392364,-104.984862
264287074,rladies-tc,November Meetup: Rmarkdown and kableExtra w/ Melanie Tierney,2019-11-12,inperson,2019,"Minneapolis, MN",44.9772995,-93.2654692
266204689,rladies-gainesville,Reproducible Research with RStudio and Docker,2019-11-12,inperson,2019,"Gainesville, FL",29.6519684,-82.3249846
265638553,rladies-dallas,November R-Ladies Community Meetup,2019-11-12,inperson,2019,"Dallas, TX",32.7762719,-96.7968559
265754543,rladies-ldnont,Data Visualization,2019-11-12,inperson,2019,"London, ON",42.9832406,-81.243372
264264116,rladies-st-louis,Cleaning messy data in R,2019-11-12,inperson,2019,"Saint Louis, MO",38.6280278,-90.1910154
263994738,rladies-newcastle,November meetup: THE PURDUR EDIT,2019-11-12,inperson,2019,Newcastle Upon Tyne,54.9738474,-1.6131572
266222411,rladies-boulder,R Ladies Boulder Meetup #3: Introduction to Building R Packages,2019-11-12,inperson,2019,"Boulder, CO",40.0149856,-105.270545
266371437,rladies-christchurch,"Data ethics for data scientists, Part 2",2019-11-12,inperson,2019,Christchurch,-43.530955,172.6364343
266368924,rladies-addis-ababa,Monthly R-Ladies Addis Ababa Meeting,2019-11-12,inperson,2019,Addis Abeba,9.0358287,38.7524127
266385062,rladies-ames,TidyTuesday,2019-11-12,inperson,2019,"Ames, IA",42.0267567,-93.6170448
265769574,rladies-east-lansing,Version Control: GIT with R,2019-11-11,inperson,2019,"East Lansing, MI",42.7320307,-84.4721678
266293490,rladies-new-delhi,Quantile Estimations: Theory & Applications on R by M&S Research Hub,2019-11-10,inperson,2019,Delhi,28.6273928,77.1716954
265148555,rladies-dc,Build a career in data science,2019-11-10,inperson,2019,"Washington, DC",38.8950368,-77.0365427
265160892,rladies-newyork,R-Ladies Book Club,2019-11-09,inperson,2019,"New York, NY",40.7127281,-74.0060152
266034937,rladies-seattle,Project-oriented workflows in R,2019-11-09,inperson,2019,"Seattle, WA",47.6038321,-122.330062
266178583,rladies-florianopolis,6º Meetup R-Ladies Floripa | Minicurso de R,2019-11-09,inperson,2019,Florianópolis,-27.5973002,-48.5496098
266048593,rladies-la,Advanced R Book Club Part 6: Performance!,2019-11-09,inperson,2019,"Los Angeles, CA",34.0536909,-118.242766
265616364,rladies-tampa,Creating Infographics in R!,2019-11-09,inperson,2019,"Tampa, FL",27.9477595,-82.458444
263551039,rladies-tampa,tbd,2019-11-09,inperson,2019,"Tampa, FL",27.9477595,-82.458444
266137936,rladies-sao-paulo,15º Meetup R-Ladies São Paulo - A arte de se Comunicar,2019-11-09,inperson,2019,São Paulo,-1.2043218,-47.1583944
265863242,rladies-xalapa,¿Cómo hacer una función en R?,2019-11-09,inperson,2019,Xalapa,19.5408338,-96.9146374
264953625,rladies-belo-horizonte,We R Ladies - AutoML Usando R,2019-11-09,inperson,2019,Belo Horizonte,-19.9225776,-43.9451356
265746741,rladies-strasbourg,Modélisation statistique : exemple pratique avec R et RShiny,2019-11-08,inperson,2019,Strasbourg,48.584614,7.7507127
265984018,rladies-medellin,Primer encuentro R-Ladies Medellín,2019-11-08,inperson,2019,Medellín,6.2697018,-75.60252574475943
265380181,rladies-concepcion,Rmarkdown Tablas,2019-11-07,inperson,2019,Concepción,-36.8270795,-73.0502399
266142639,rladies-frankfurt,#7: Hands-on linear regression in R: Packages for modelling and visualizing,2019-11-07,inperson,2019,Frankfurt,50.1106444,8.6820917
265506141,rladies-philly,Code & Coffee,2019-11-07,inperson,2019,"Philadelphia, PA",39.9527237,-75.1635262
266203316,rladies-highland-park,Happy Hour/Tidy Tuesday Data Play/Tips and Tricks,2019-11-07,inperson,2019,"Highland Park, NJ",40.4959379,-74.4243178
