word,month,n,month_total,percent,year
online,12,0,21,0,1970.0027397260274
onlookers,1,0,19,0,1970.0027397260274
onlookers,2,0,10,0,1970.0027397260274
onlookers,3,0,35,0,1970.0027397260274
onlookers,4,0,20,0,1970.0027397260274
onlookers,5,1,20,0.05,1970.0027397260274
onlookers,6,0,11,0,1970.0027397260274
onlookers,7,0,24,0,1970.0027397260274
onlookers,8,0,17,0,1970.0027397260274
onlookers,9,0,29,0,1970.0027397260274
onlookers,10,0,24,0,1970.0027397260274
onlookers,11,0,23,0,1970.0027397260274
onlookers,12,0,21,0,1970.0027397260274
oozing,1,0,19,0,1970.0027397260274
oozing,2,0,10,0,1970.0027397260274
oozing,3,0,35,0,1970.0027397260274
oozing,4,0,20,0,1970.0027397260274
oozing,5,0,20,0,1970.0027397260274
oozing,6,0,11,0,1970.0027397260274
oozing,7,1,24,0.041666666666666664,1970.0027397260274
oozing,8,0,17,0,1970.0027397260274
oozing,9,0,29,0,1970.0027397260274
oozing,10,0,24,0,1970.0027397260274
oozing,11,0,23,0,1970.0027397260274
oozing,12,0,21,0,1970.0027397260274
operation,1,0,19,0,1970.0027397260274
operation,2,0,10,0,1970.0027397260274
operation,3,0,35,0,1970.0027397260274
operation,4,0,20,0,1970.0027397260274
operation,5,0,20,0,1970.0027397260274
operation,6,0,11,0,1970.0027397260274
operation,7,1,24,0.041666666666666664,1970.0027397260274
operation,8,0,17,0,1970.0027397260274
operation,9,0,29,0,1970.0027397260274
operation,10,0,24,0,1970.0027397260274
operation,11,0,23,0,1970.0027397260274
operation,12,0,21,0,1970.0027397260274
opportunity,1,0,19,0,1970.0027397260274
opportunity,2,1,10,0.1,1970.0027397260274
opportunity,3,0,35,0,1970.0027397260274
opportunity,4,0,20,0,1970.0027397260274
opportunity,5,0,20,0,1970.0027397260274
opportunity,6,0,11,0,1970.0027397260274
opportunity,7,0,24,0,1970.0027397260274
opportunity,8,0,17,0,1970.0027397260274
opportunity,9,0,29,0,1970.0027397260274
opportunity,10,0,24,0,1970.0027397260274
opportunity,11,0,23,0,1970.0027397260274
opportunity,12,0,21,0,1970.0027397260274
organ,1,0,19,0,1970.0027397260274
organ,2,0,10,0,1970.0027397260274
organ,3,0,35,0,1970.0027397260274
organ,4,0,20,0,1970.0027397260274
organ,5,0,20,0,1970.0027397260274
organ,6,0,11,0,1970.0027397260274
organ,7,0,24,0,1970.0027397260274
organ,8,0,17,0,1970.0027397260274
organ,9,1,29,0.034482758620689655,1970.0027397260274
organ,10,0,24,0,1970.0027397260274
organ,11,0,23,0,1970.0027397260274
organ,12,0,21,0,1970.0027397260274
outlaw,1,0,19,0,1970.0027397260274
outlaw,2,0,10,0,1970.0027397260274
outlaw,3,0,35,0,1970.0027397260274
outlaw,4,0,20,0,1970.0027397260274
outlaw,5,0,20,0,1970.0027397260274
outlaw,6,0,11,0,1970.0027397260274
outlaw,7,0,24,0,1970.0027397260274
outlaw,8,0,17,0,1970.0027397260274
outlaw,9,0,29,0,1970.0027397260274
outlaw,10,0,24,0,1970.0027397260274
outlaw,11,1,23,0.043478260869565216,1970.0027397260274
outlaw,12,0,21,0,1970.0027397260274
outlet,1,0,19,0,1970.0027397260274
outlet,2,0,10,0,1970.0027397260274
outlet,3,0,35,0,1970.0027397260274
outlet,4,0,20,0,1970.0027397260274
outlet,5,0,20,0,1970.0027397260274
outlet,6,0,11,0,1970.0027397260274
outlet,7,0,24,0,1970.0027397260274
outlet,8,0,17,0,1970.0027397260274
outlet,9,0,29,0,1970.0027397260274
outlet,10,0,24,0,1970.0027397260274
outlet,11,1,23,0.043478260869565216,1970.0027397260274
outlet,12,0,21,0,1970.0027397260274
oven,1,0,19,0,1970.0027397260274
oven,2,0,10,0,1970.0027397260274
oven,3,0,35,0,1970.0027397260274
oven,4,0,20,0,1970.0027397260274
oven,5,1,20,0.05,1970.0027397260274
oven,6,0,11,0,1970.0027397260274
oven,7,0,24,0,1970.0027397260274
oven,8,0,17,0,1970.0027397260274
oven,9,0,29,0,1970.0027397260274
oven,10,0,24,0,1970.0027397260274
oven,11,0,23,0,1970.0027397260274
oven,12,2,21,0.09523809523809523,1970.0027397260274
overdose,1,0,19,0,1970.0027397260274
overdose,2,0,10,0,1970.0027397260274
overdose,3,0,35,0,1970.0027397260274
overdose,4,0,20,0,1970.0027397260274
overdose,5,0,20,0,1970.0027397260274
overdose,6,0,11,0,1970.0027397260274
overdose,7,0,24,0,1970.0027397260274
overdose,8,0,17,0,1970.0027397260274
overdose,9,1,29,0.034482758620689655,1970.0027397260274
overdose,10,0,24,0,1970.0027397260274
overdose,11,0,23,0,1970.0027397260274
overdose,12,0,21,0,1970.0027397260274
overheated,1,0,19,0,1970.0027397260274
overheated,2,0,10,0,1970.0027397260274
overheated,3,0,35,0,1970.0027397260274
overheated,4,0,20,0,1970.0027397260274
overheated,5,0,20,0,1970.0027397260274
overheated,6,0,11,0,1970.0027397260274
overheated,7,0,24,0,1970.0027397260274
overheated,8,1,17,0.058823529411764705,1970.0027397260274
overheated,9,0,29,0,1970.0027397260274
overheated,10,0,24,0,1970.0027397260274
overheated,11,1,23,0.043478260869565216,1970.0027397260274
overheated,12,0,21,0,1970.0027397260274
overnight,1,0,19,0,1970.0027397260274
overnight,2,0,10,0,1970.0027397260274
overnight,3,0,35,0,1970.0027397260274
overnight,4,0,20,0,1970.0027397260274
overnight,5,0,20,0,1970.0027397260274
overnight,6,0,11,0,1970.0027397260274
overnight,7,0,24,0,1970.0027397260274
overnight,8,0,17,0,1970.0027397260274
overnight,9,1,29,0.034482758620689655,1970.0027397260274
overnight,10,0,24,0,1970.0027397260274
overnight,11,0,23,0,1970.0027397260274
overnight,12,0,21,0,1970.0027397260274
overpass,1,0,19,0,1970.0027397260274
overpass,2,0,10,0,1970.0027397260274
overpass,3,0,35,0,1970.0027397260274
overpass,4,0,20,0,1970.0027397260274
overpass,5,0,20,0,1970.0027397260274
overpass,6,1,11,0.09090909090909091,1970.0027397260274
overpass,7,0,24,0,1970.0027397260274
overpass,8,0,17,0,1970.0027397260274
overpass,9,0,29,0,1970.0027397260274
overpass,10,0,24,0,1970.0027397260274
overpass,11,0,23,0,1970.0027397260274
overpass,12,0,21,0,1970.0027397260274
owned,1,0,19,0,1970.0027397260274
owned,2,0,10,0,1970.0027397260274
