album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,single_release,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,line,lyric,element,element_artist
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,37,Look at how my tears ricochet,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,1,I want you to know,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,2,I'm a mirrorball,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,3,I'll show you every version of yourself tonight,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,4,I'll get you out on the floor,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,5,Shimmering beautiful,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,6,"And when I break, it's in a million pieces",Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,7,"Hush, when no one is around, my dear",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,8,You'll find me on my tallest tiptoes,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,9,"Spinning in my highest heels, love",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,10,Shining just for you,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,11,"Hush, I know they said the end is near",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,12,But I'm still on my tallest tiptoes,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,13,"Spinning in my highest heels, love",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,14,Shining just for you,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,15,I want you to know,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,16,I'm a mirrorball,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,17,I can change everything about me to fit in,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,18,You are not like the regulars,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,19,The masquerade revelers,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,20,Drunk as they watch my shattered edges glisten,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,21,"Hush, when no one is around, my dear",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,22,You'll find me on my tallest tiptoes,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,23,"Spinning in my highest heels, love",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,24,Shining just for you,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,25,"Hush, I know they said the end is near",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,26,But I'm still on my tallest tiptoes,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,27,"Spinning in my highest heels, love",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,28,Shining just for you,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,29,"And they called off the circus, burned the disco down",Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,30,When they sent home the horses and the rodeo clowns,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,31,I'm still on that tightrope,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,32,I'm still trying everything to get you laughing at me,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,33,"And I'm still a believer, but I don't know why",Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,34,"I've never been a natural, all I do is try, try, try",Bridge,Taylor Swift
