name,type,ra,dec,image
Coalsack Nebula,Nebula,187.8292,-63.7433,http://commons.wikimedia.org/wiki/Special:FilePath/Part%20of%20the%20Coalsack%20Nebula.jpg
Coma Berenices,Constellation,186.74583,23.90417,NA
Coma Cluster,Cluster,194.95292,27.98056,http://commons.wikimedia.org/wiki/Special:FilePath/Ssc2007-10a1.jpg
Cone Nebula,Nebula,100.275,9.883,http://commons.wikimedia.org/wiki/Special:FilePath/Cone%20Nebula%20%28NGC%202264%29%20Star-Forming%20Pillar%20of%20Gas%20and%20Dust.jpg
Crab Nebula,Nebula,83.633083,22.0145,http://commons.wikimedia.org/wiki/Special:FilePath/25%20Images%20to%20Celebrate%20NASA%E2%80%99s%20Chandra%2025th%20Anniversary-%20Crab%20Nebula%20%2853893798390%29.jpg
Crab Pulsar,Star,83.63307625,22.014493278,http://commons.wikimedia.org/wiki/Special:FilePath/Chandra-crab.jpg
Crescent Nebula,Nebula,303.0292,38.355,http://commons.wikimedia.org/wiki/Special:FilePath/CrescentBicolorHunterWilson.jpg
Cygnus,Constellation,20.5,45,http://commons.wikimedia.org/wiki/Special:FilePath/Kru%C5%A1n%C3%A9%20hory%2C%20Hora%20sv.%20%C5%A0ebesti%C3%A1na%2C%20imgp0651-71info%20%282018-05%29.jpg
Cygnus A,Galaxy,299.868151909542,40.733915736,http://commons.wikimedia.org/wiki/Special:FilePath/3c405.jpg
Cygnus Loop,Nebula,312.75,30.667,http://commons.wikimedia.org/wiki/Special:FilePath/Cygnus%20Loop%20Nebula.jpg
Cygnus OB2,Cluster,308.3,41.317,http://commons.wikimedia.org/wiki/Special:FilePath/CygOB2%20med.jpg
Cygnus X-1,Black Hole,299.59031556498,35.20160680908,http://commons.wikimedia.org/wiki/Special:FilePath/Chandra%20image%20of%20Cygnus%20X-1.jpg
Dark Doodad Nebula,Nebula,189.2875,-69.9983,http://commons.wikimedia.org/wiki/Special:FilePath/Dark%20Doodad%20Nebulae.jpg
Delta Cancri,Star,131.17124658768913,18.15430806905417,NA
