chapter                        ,keywords
rladies-reading                ,"the Tidyverse Universe, Launch Event"
rladies-recife                 ,o R
rladies-remote                 ,"R Package Development Workshop Series, December Coffee Chat, Slack Coffee Chat,  Shannon Pileggi, 25 May, Remote Coffee Chat, 03 Mar, April Coffee Chat, November Coffee Chat"
rladies-resistencia-corrientes ,"ggplot2, datos, dplyr, Visualización, tutoriales, interactivos, el paquete, gg+ : paquetes, las capacidades, ¡Gran Cierre"
rladies-ribeirao-preto         ,"dados, RStudio, R no Jornalismo de Dados, Introdução, o pertencimento, a representatividade, Ciência, Visualização, 'dplyr, ggplot2"
rladies-rio                    ,"Modelos de Equações Estruturais no  RMarkdown, ao pacote de  R e git, |ADIADO|,  -Ladies Rio, Niterói, rstudio::conf  'watch party, Rio de Janeiro Outubro"
rladies-riverside              ," Portfolio Website, GitHub Pages, Github, -, Dataframe, simple maps, Data Science, a Team Sport"
rladies-rome                   ,"Quarto, 6:00 PM, CET, R II, The Journey, Mastering R II: The Journey Continues, R/Bioconductor watch party, BioC2023,  An Intensive Crash Course"
rladies-rotterdam              ," Advanced R Chapter, *, Microbenchmarking, R code performance, Quasiquotation, the bang bang, curly curly slang, R6, Chapter"
rladies-rtp                    ," [ONLINE] #tidytuesday Work Group, Book Club, #tidytuesday Work Group, ggplot2, sf, [ONLINE] Spatial Data Basics, R Markdown, Data Science, [ONLINE] Introduction"
rladies-salvador               ,"Meetup, 5º Meetup, Virtual R_Ladies Salvador, 3°, 2°, 1°, 3° Meetup, Machine Learning, R"
rladies-san-diego              ," Data Science, Book Club, "" Chapters, R for Data Science, RStudio, ggplot2, Eventbrite, disk.frame"
rladies-san-francisco          ," Stanford Online Class Statistical Learning, Week, Kaggle Competition, GitHub, Computing, Data Analysis, Lightning Talks, Workshop, Github"
rladies-san-jose               ," Programación, Beginner fest, tips, tricks, datos, Datos, lubridate, Visualización"
rladies-sancristobal           ,"Introducción a  Anual, 3er Encuentro Anual"
rladies-santa-barbara          ," Mingle, Basics, An targets, Summer Mix, Central Coast Python, Data Science, Python, -Ladies SB"
rladies-santa-fe               ," Taller, Reales de  Reunión Online, Modelado, principios, datos, una reunión, Gráficos, demand"
rladies-santa-rosa             ," desde Cero, tutoriales, interactivos, GIT, Santa Rosa, El Faro, del Software, ciencia, el paquete"
rladies-sao-paulo              ," GitHub, São Paulo, Introdução, Git, Google Analytics, Carreira, [MeetUp Online] Tidymodels: Estruturando o processo de Machine Learning, o teste, [MeetUp Online] Visualização Interativa"
rladies-scl                    ," datos, del libro, Data Feminism, Club de lectura del libro, Sesión, Club de lectura - Happy Git, de Jenny Bryan, Humanidades, sesión"
rladies-seattle                ," Happy Hour, April, RStudio, posit::conf, CascadiaRConf, GitHub, Fred Hutch, code"
rladies-st-louis               ," ggplot2, Virtual Workshop, the date, Network Analysis, Quarto, Data Visualization, Time Series"
rladies-stillwater             ,"Person, Inaugural Welcome Event, Event"
rladies-stockholm              ,"Markdown, Basics, R package building, user centered problems, solutions, Presentation, Ada conference, Ada, Supervised classification, Machine Learning"
rladies-strasbourg             ," Party Francophone, la modélisation, Application, graphical models, metabolomics, une régression PLS, RShiny, grande dimension, Composant Principal"
rladies-sydney                 ,"your R Code,  Date Night, Machine Learning, Structural equation models, educational research, My Favourite Things, DIY R Package, a Personal Website, Carrots"
rladies-taipei                 ," [Visualization Series, Taipei, AI, [Special Series, [Special Case Series, [Container Series, Machine Learning, [ML Series, Azure"
rladies-talca                  ,"del libro, Data Feminism, Club de lectura del libro, datos,  la limpieza, transformación, que, a Tidymodels, ¡Expresiones"
rladies-tampa                  ,"PT, Data Workflow, Transformation, Exploratory Data Analysis, Blogdown, Data, Tidyverse Skills, Data Visualization, Shiny Apps, Tibbles"
rladies-tbilisi                ," Bookclub, Chapter, Exploratory Data Analysis, Webinar, Caucasus Barometer, data, beginners, -, Studio"
rladies-tc                     ," Code/Coffee/Cohort, The Analytics Edge, gganimate, lmeresampler, Rmarkdown, kableExtra, Met Council Data Science, R Project Worktime"
rladies-thessaloniki           ," R"
rladies-tijuana                ,
rladies-tiruchirappalli        ,
rladies-toronto                ," Google Cloud, Docker, data, an interactive dashboard, COVID-19 outbreak, Canada,"
rladies-tunis                  ," Tidyverse, RSelenium, Excel, R4Bioinfo Workshop, Ensembl REST API, blogdown"
rladies-urmia                  ," Persian, Book Club R4DS, آر, Git Hub, Rmarkdown, Species distribution modeling, Book Club R4DS-, Book Club session8, Programming"
rladies-ushuaia                ,"Cierre, año, Predictive modeling, text, tidy data principles, - useR, una reunión"
rladies-utrecht                ," Hands-On Machine Learning with  Book club, “Hands-On Machine Learning, Hands, Machine Learning, Advanced R Chapter, Support Vector Machines"
rladies-valparaiso             ," datos, del libro, Data Feminism, Club de lectura del libro, Sesión, Club de lectura - Happy Git, de Jenny Bryan, Taller introductorio, procesamiento"
rladies-vancouver              ," R beginner workshop series, Online Hacky Hours, SciProg, Periscope, your workflow, Functions Workshop, ggplot2, Hackseq"
rladies-vienna                 ," PyLadies, Vienna,  Chrismas Market, R Shiny Workshop Series, R Shiny Workshop, Bayesian Statistics, Alex Posekany, R projects"
rladies-villahermosa           ,"GGPLOT, generalizados, GGPLOT2, revistas, Primer taller introductorio de RStudio"
rladies-vitoria                ,"filme, sua vida, / Wordcloud, em R"
rladies-wageningen             ,
rladies-waltham                ,
rladies-wellington             ,Building Connections
rladies-xalapa                 ," Visualización, Heatmaps"
rladies-zurich                 ,"Quarto, RMarkdown, your first Quarto website,International Women‘s Day, Pub Night, your own ggplot theme, Creative CVs"
rladiesnyc                     ,"Code Hangout"
